edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
15,1,candidate,0.0,sample_cosine,31432,0.09803921568627451,0.09803921568627451
16,1,candidate,0.0,sample_cosine,31432,1.0,1.0
17,1,candidate,0.0,sample_cosine,31432,1.0,1.0
18,1,candidate,0.0,sample_cosine,31432,0.0,0.0
19,1,candidate,0.0,sample_cosine,31432,0.4522058823529412,0.4522058823529412
20,1,candidate,0.0,sample_cosine,31432,0.0,0.0
21,1,candidate,0.0,sample_cosine,31432,1.0,1.0
22,1,candidate,0.0392156862745098,sample_cosine,31432,0.0,0.0392156862745098
0,2,candidate,0.0,sample_cosine,31432,0.7450980392156863,0.7450980392156863
1,2,candidate,0.0,sample_cosine,31432,0.4852941176470588,0.4852941176470588
2,2,candidate,0.0,sample_cosine,31432,0.07965686274509803,0.07965686274509803
3,2,candidate,0.0,sample_cosine,31432,1.0,1.0
4,2,candidate,0.0,sample_cosine,31432,0.9865196078431373,0.9865196078431373
5,2,candidate,0.0,sample_cosine,31432,1.0,1.0
6,2,candidate,0.0,sample_cosine,31432,1.0,1.0
7,2,candidate,0.0,sample_cosine,31432,0.9203431372549019,0.9203431372549019
8,2,candidate,0.0,sample_cosine,31432,1.0,1.0
9,2,candidate,0.0,sample_cosine,31432,1.0,1.0
10,2,candidate,0.0,sample_cosine,31432,1.0,1.0
11,2,candidate,0.43137254901960786,sample_cosine,31432,0.12254901960784313,0.553921568627451
12,2,candidate,0.0,sample_cosine,31432,1.0,1.0
13,2,candidate,0.0,sample_cosine,31432,1.0,1.0
14,2,candidate,0.0,sample_cosine,31432,0.7438725490196079,0.7438725490196079
15,2,candidate,0.0,sample_cosine,31432,1.0,1.0
16,2,candidate,0.0196078431372549,sample_cosine,31432,0.49264705882352944,0.5122549019607843
17,2,candidate,0.0,sample_cosine,31432,1.0,1.0
18,2,candidate,0.0,sample_cosine,31432,0.0,0.0
19,2,candidate,0.0,sample_cosine,31432,0.0,0.0
